,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
81,82,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,55,104,69,577416,1,France
82,83,spotify:track:6CRTGadOztkonI7EDxYNeP,Booba,Ridin',Universal Music Distribution Deal,4,134,23,575246,1,France
83,84,spotify:track:7IU0Caeq9jSYsdnDBKXqiu,Kendji Girac,Si seulement...,Universal Music Division Island Def Jam,50,80,18,570327,1,France
84,85,spotify:track:5PYjKcfxLccf3aHwUv0XcY,"Genezio, La Mano 1.9",EL GEMANO,Play Two,33,86,23,569079,1,France
85,86,spotify:track:2BvjmY4Mp5q1AHL0laetd6,"Heuss L'enfoiré, Gazo",Saiyan,150 Prod / Straw Production,1,77,84,566502,1,France
86,87,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,17,128,180,565291,1,France
87,88,spotify:track:5tl5NRfjvOEZaVuWBQHOf9,Bouss,Angela,Le Grand Carré / Level Up Music,53,75,6,562023,1,France
88,89,spotify:track:3KmGOpeFaltoCpzRAyrZJg,Leto,J’crois qu’ils ont pas compris,Rec.118 / Winterfell,3,54,22,559108,1,France
89,90,spotify:track:7CVQNimiTPLHTu4ZM7pv7s,Lacrim,No lo sé,PLATA O PLOMO,4,83,28,558349,1,France
90,91,spotify:track:2PYMw8P6kuCHqhltz47XMr,"Dadi, Nouvelle École",Bah Ouais - Nouvelle École,Netflix Music,4,67,25,555167,1,France
91,92,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,49,91,20,551956,1,France
92,93,spotify:track:0rtDE9zfXbamTlRUSwY7zy,Mark Ambor,Belong Together,"Hundred Days Records, LLC",23,92,39,549832,1,France
93,94,spotify:track:2z9FUHRkbkV4BObNzbHsFU,Damiano David,Born With a Broken Heart,Sony Music Italy / Arista Records,94,116,4,548828,1,France
94,95,spotify:track:2cqtTAnI9E7buORFB9q4ts,"PLK, Jul",Faut pas,Panenka Music,8,110,49,546464,1,France
95,96,spotify:track:6IyY7st5UooM84lDO3odza,SANTA,Popcorn Salé,999 Productions / Parlophone,11,85,70,545101,1,France
96,97,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,97,136,36,541454,1,France
97,98,spotify:track:6lVMLEpSkWrJcLG6RYPmfr,"Dinos, Hamza",MISS LILY'S,SPKTAQLR,55,132,6,539946,1,France
98,99,spotify:track:1jHHHH1GlrwdO5az2Q6A6K,"KeBlack, SDM",Boulot,Motema records,29,96,7,532722,1,France
99,100,spotify:track:7z7kvUQGwlC6iOl7vMuAr9,The Weeknd,Dancing In The Flames,XO / Republic Records,59,84,17,521192,1,France
100,101,spotify:track:4QIH0XYnCLoCl1WZIV08Pn,Zaho de Sagazan,La symphonie des éclairs,Disparate / Virgin Records Distribution Deal,23,114,48,514839,1,France
101,102,spotify:track:1edPU5OOn4YCWn9lR0nesC,Lynda,Passe ton chemin,Play Two,19,82,30,512018,1,France
102,103,spotify:track:6zOROWSana8gXPcDlvYggu,UZI,GARS DU ZOO,RPB Music,19,112,42,510698,1,France
103,104,spotify:track:2Os26puFcTLXTsap0Wasmm,"Vacra, PLK",Confidences,Universal Music Division Carthage Music,8,101,35,510072,1,France
104,105,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,54,145,29,507802,1,France
105,106,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,"Tyler, The Creator, Lola Young",Like Him (feat. Lola Young),Columbia,106,172,3,505254,1,France
106,107,spotify:track:3DkF5PzztACcDGdLWVFiyJ,Ninho,Sourire,Rec. 118 / Mal Luné Music,65,126,9,499342,1,France
107,108,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,62,100,32,499206,1,France
108,109,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,29,153,39,491636,1,France
109,110,spotify:track:3dj4wgM3cPeuLwMNHDuBon,Teddy Swims,The Door,Warner Records,34,161,39,490465,1,France
110,111,spotify:track:3JG1uFc40wfyrqaWC7iv0e,Artemas,i like the way you kiss me,Artemas,6,107,42,489064,1,France
111,112,spotify:track:1IPHJxo4Y20Rki9beIP1bN,"SDM, Hamza",TOKA,Universal Music Division Capitol Music France,5,141,17,486777,1,France
112,113,spotify:track:2nisza1c4n20GU0HaZ9qmH,"Genezio, Tiakola",LA MELO EST DANS LA BOUNCE,Play Two,40,129,8,485180,1,France
113,114,spotify:track:5HEtuK03ygUzqca6yfgOYZ,Ninho,Lettre à une femme,Rec. 118 / Mal Luné Music,1,127,236,484871,1,France
114,115,spotify:track:3UEUbdm11ee93tzsQTQMre,Naps,Monica,Ok Many Industrie / 13Eme Art Music,115,135,7,484269,1,France
115,116,spotify:track:1XJbMMx1TwVIFc2JnCeu4b,"Werenoi, Hamza",Maudit,AllPoints,9,150,44,483919,1,France
116,117,spotify:track:2ewjMyCbNv2X1dB2qIDCwD,Damso,Θ. Macarena,Universal Music Division Carthage Music,1,151,302,478455,1,France
117,118,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,113,113,33,478448,1,France
118,119,spotify:track:0U7UH2iu2X4pWdlmyY3kSm,"JRK 19, La Mano 1.9",LE PLAN,REC. 118 / 489 House & MAV Records,117,-1,4,477090,1,France
119,120,spotify:track:6D8y7Bck8h11byRY88Pt2z,Dua Lipa,Houdini,Warner Records,11,105,47,475869,1,France
120,121,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,Universal Music AB,34,-1,6,472296,1,France
121,122,spotify:track:7A2DyRIqqelhZ4caPJMaFI,Favé,Urus,Morning Glory Music / 109 Record,3,118,117,469951,1,France
122,123,spotify:track:30D9x5LFgL2o9xidjX2wtE,"Soolking, Gazo",Casanova,Universal Music MENA Distributed Labels,1,106,79,469867,1,France
123,124,spotify:track:1bxP4M9ICllcg7mel8kH89,Dadju,Reine,Universal Music Division Capitol Music France,2,111,167,468977,1,France
124,125,spotify:track:1frmYvoVtyFlGypiapnkrX,"Kalash, Gazo",Tu le sais,Play Two,26,162,53,467807,1,France
125,126,spotify:track:0JaCXZzj9Rb6cwz8wKN0pk,"UZI, JKSN",50G,RPB Music,48,152,29,466865,1,France
126,127,spotify:track:0Fyqe4e5VjCaFjNSNYWa25,"GIMS, Morad",Seya,Sativa Music,23,156,61,466509,1,France
127,128,spotify:track:656vbT8JKkVx7g1yG12L89,OBOY,Avec Toi,SYNDICATE RECORDS,36,164,182,465079,1,France
128,129,spotify:track:0h3Xy4V4apMraB5NuM8U7Z,CYRIL,Stumblin' In,Spinnin' Records,13,81,41,464831,1,France
129,130,spotify:track:4CtSEl5KtwewxeKoajgzN5,"GIMS, Dadju",Terminal 2F,Play Two,37,131,21,464380,1,France
130,131,spotify:track:0Wr98MVkENZXddiLB3bPb0,Louise Attaque,J't'emmène au vent,Universal Music Division Barclay,49,55,158,463995,1,France
131,132,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,88,169,59,463980,1,France
132,133,spotify:track:6yqwxY8qifBBhyryjZutxk,"Gazo, Tiakola",MAMI WATA,BSB PROD,3,125,58,463813,1,France
133,134,spotify:track:331l3xABO0HMr1Kkyh2LZq,"David Guetta, OneRepublic",I Don't Wanna Wait,Parlophone UK,14,87,34,458434,1,France
134,135,spotify:track:1O2mX6MrjsJlkCGEF0TVWL,PLK,Émotif (Booska 1H),Panenka Music,38,166,159,457266,1,France
135,136,spotify:track:76cLUsBm9nexhPSSYo3vo4,Leto,SENTIMENTS BILLETS DE 100,Rec.118 / Winterfell,136,-1,1,457031,1,France
136,137,spotify:track:5f5fBrOBCOpLoFaWao5RXu,Gambi,PETETE,Rec. 118,1,117,110,456809,1,France
137,138,spotify:track:2v2pKM7cFA0tn6MjmR5voY,Bouss,Coloré,Le Grand Carré / Level Up Music,89,119,19,454153,1,France
138,139,spotify:track:7zPIPJKmtJxK6CpVOntCxL,"KeBlack, Franglish",Boucan,Motema records,2,122,37,450998,1,France
139,140,spotify:track:2FBfpNRDEsjxgT2WKxD7Za,"La Mano 1.9, Niska",Canon,R.A.T MUSIC,115,143,10,450257,1,France
140,141,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,141,159,7,449010,1,France
141,142,spotify:track:5b5cPscqVEMChvDqscVw26,Dua Lipa,Training Season,Warner Records,18,98,37,447822,1,France
142,143,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Stressed Out,Fueled By Ramen,96,-1,24,446506,1,France
143,144,spotify:track:6VtG4p0It4nM0aStU46hEl,Dadju,Compliqué,Universal Music Division Capitol Music France,7,155,65,445796,1,France
144,145,spotify:track:6y8LXTxgfWkU6kGhLnK2XH,Pierre Garnier,"Adieu, nous deux",Columbia,104,192,6,444751,1,France
145,146,spotify:track:1QJbDTZAO8rpGOMG4UahFM,"Arcane, Twenty One Pilots",The Line (from the series Arcane League of Legends),Riot Games,58,182,7,443999,1,France
146,147,spotify:track:7e2vCAtcYXuM8JOUqIZ9GQ,"Kalash, Maureen",Laptop,Play Two,56,138,24,443326,1,France
147,148,spotify:track:1FEh2VLXCzHr4DhMLufrs5,Youka,Hm Hm hm,JAT KISS,146,154,11,440924,1,France
148,149,spotify:track:7d391WfC0HtftRcetDFQUy,PLK,Nouvelles,Panenka Music,3,173,87,439881,1,France
149,150,spotify:track:0SKNkEMV313mE6oYsgVCgm,Jul,J'oublie tout,Liga One Industry,81,157,81,434166,1,France
150,151,spotify:track:7EMzOyDT87Uq9Hi08Mxe31,THEODORT,Wayeh,BUDOKAI / ERRRO,4,115,36,432633,1,France
151,152,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,Billie Eilish,CHIHIRO,Darkroom/Interscope Records,13,-1,30,432584,1,France
152,153,spotify:track:5c2HadbVTsMKjja4gohEFI,"Ninho, Niska",Maman ne le sait pas (feat. Niska),Rec. 118 / Mal Luné Music,2,-1,144,432530,1,France
153,154,spotify:track:57InPX86dWSiQexyA7xx5i,Pierre Garnier,Ceux qu'on était,Columbia,1,137,48,431650,1,France
154,155,spotify:track:2OrVl8djetZs39Mr3Ujkaf,"Houari, Jul",Vanillée,Rien 100 Rien,61,165,26,431541,1,France
155,156,spotify:track:7wwQoJtPLBVeMIZlW11cp6,"Jul, DYSTINCT",Oh qu'elle est belle,D'Or et de Platine,6,158,42,431170,1,France
156,157,spotify:track:7DSAEUvxU8FajXtRloy8M0,Miley Cyrus,Flowers,Columbia,1,103,94,426952,1,France
157,158,spotify:track:1LY3GhF0zxIVgbYEQjCbUO,"Disturbed, CYRIL",The Sound of Silence - CYRIL Remix,Spinnin' Records,7,76,44,426466,1,France
158,159,spotify:track:4eWcCSJEe0d1gCEdKqyiHS,Josman,J'aime Bien!,Choke Industry,94,-1,120,425764,1,France
159,160,spotify:track:49xOYhvSnClDymbvY7pFe8,Favé,Mode Avion,Morning Glory Music / 109 Record,92,142,28,425708,1,France
160,161,spotify:track:5I2FIj9EDp0Fz32CJ9lZNF,Jul,Tu la love,Liga One Industry,107,171,38,424978,1,France
161,162,spotify:track:1xLCwgQcF6bKncTJmRGGws,SDM,Mr. Ocho,92i / Capitol Music France,6,-1,79,423201,1,France
162,163,spotify:track:3M0lSi5WW79CXQamgSBIjx,Chase Atlantic,Swim,Warner Records,163,-1,1,422624,1,France
163,164,spotify:track:6YWjskKykdPsBuiTBOg1VK,Damso,Δ. Dieu ne ment jamais,Universal Music Division Carthage Music,8,-1,131,420733,1,France
164,165,spotify:track:1YO4yin1nwulJH8ncRJjSj,Ziak,Belle madame,Universal Music Division Capitol Music France,165,-1,1,420410,1,France
165,166,spotify:track:01gr5cUIMHKrblkKRkjYlU,Marine,Ma faute,Marine,166,-1,1,418898,1,France
166,167,spotify:track:3wPPWcVuinAU7dXcJXtCID,"Naughty Boy, Sam Smith",La La La,Virgin Records Ltd,167,-1,1,416954,1,France
167,168,spotify:track:12AuK95PXCwbZ49VrTqlku,Bouss,Les heures,Le Grand Carré / Level Up Music,107,-1,18,414917,1,France
168,169,spotify:track:3bK1zVFBKIzYjmptmI4NsJ,"Ofenbach, Norma Jean Martine",Overdrive (feat. Norma Jean Martine),Elektra France,13,149,57,411282,1,France
169,170,spotify:track:0u6HzAVFUBiKslzPF9G9vd,Ninho,Dis-moi que tu m'aimes,Rec. 118 / Mal Luné Music,69,200,38,409777,1,France
170,171,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,82,-1,79,409542,1,France
171,172,spotify:track:6k4igBM2LeUezL2YmG5ggg,"Lacrim, Vacra",Joie de filles (feat. Vacra),PLATA O PLOMO,19,187,24,409486,1,France
172,173,spotify:track:3u4YjYq448qqRkUfJsbrnM,K2S,Dougie,Play Two,13,144,28,408325,1,France
173,174,spotify:track:3LK81r3yptHlliNgLBo1UC,Hamza,Murder,Just Woke Up,23,-1,30,407454,1,France
174,175,spotify:track:6nbmJ9K3iKQPtN5mvo59Xm,SCH,La pluie,Maison Baron Rouge / WMF,17,-1,5,405127,1,France
175,176,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,120,259,404758,1,France
176,177,spotify:track:3FAclTFfvUuQYnEsptbK8w,Amy Winehouse,Back To Black,Universal-Island Records Ltd.,45,198,26,402987,1,France
177,178,spotify:track:6WkEhUROoQj4NiPRzzBiLJ,Ziak,Chassé-croisé,Universal Music Division Capitol Music France,73,-1,2,401764,1,France
178,179,spotify:track:1Lulg5ZiMEXy3QNwb1PB8I,Ninho,Zipette,Rec. 118 / Mal Luné Music,4,-1,91,399498,1,France
179,180,spotify:track:67LH2dzXF67Oi80yJaVYd7,"Dua Lipa, Pierre de Maere",These Walls (feat. Pierre de Maere),Warner Records,180,181,2,398105,1,France
180,181,spotify:track:7GLtEcaxxQpdK63YsiG51g,"PLK, Gazo",Ça mène à rien,Panenka Music,2,188,49,397707,1,France
181,182,spotify:track:03LDM6VoTJbfdw1L7USDU8,SCH,Deux mille,Maison Baron Rouge / WMF,10,176,5,394222,1,France
182,183,spotify:track:6yIh43XrY4Mc5xOxeagVhp,Tayc,Le temps,Play Two,1,186,72,392997,1,France
183,184,spotify:track:1uzNH68dm1P0LuBmEh6eok,"Lacrim, GIMS",Ce soir ne sors pas,Universal Music Division Capitol Music France,31,184,32,389983,1,France
184,185,spotify:track:2uXlHCUbq9OMUwx3hrk06o,Vance Joy,Riptide,Atlantic Records,60,124,67,389756,1,France
185,186,spotify:track:0t7d6wbJLS2A31yqlHFew7,"Heuss L'enfoiré, Werenoi",Mélanine,Verdansk / Straw Prod,4,102,36,388259,1,France
186,187,spotify:track:2nLtzopw4rPReszdYBJU6h,Linkin Park,Numb,Warner Records,60,-1,15,386182,1,France
