,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
195,196,spotify:track:4c6yjn6FdNfuRltmPFciJh,J Balvin,Rio,Capitol Records,153,183,3,392583,7,Spain
196,197,spotify:track:7MmrcXVA7A5zZ2CbDuGHNa,Rels B,A Mí,DALE PLAY Records / Flakk Team,55,180,60,392472,7,Spain
197,198,spotify:track:5RqSsdzTNPX1uzkmlHCFvK,"KAROL G, Peso Pluma",QLONA,Bichota/Interscope Records,8,162,80,392419,7,Spain
198,199,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,"KAROL G, Shakira",TQG,BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO,1,200,100,392327,7,Spain
199,200,spotify:track:622hILkg9qNIuvy7k292Hk,Rigoberta Bandini,El Amor - Premios Goya 2025,Rigoberta Bandini,200,-1,1,391245,7,Spain
0,1,spotify:track:4DnrAI8WyUY6gkOwl8GlPN,"Alleh, Yorghaki",capaz (merengueton),CONMUER LLC,1,1,13,3771964,8,Spain
1,2,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,2,2,8,3090595,8,Spain
2,3,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,3,4,8,2923536,8,Spain
3,4,spotify:track:7ricDBUakN3N0YkkKE8Obu,"Beéle, Ovy On The Drums",mi refe,5020 Records,4,5,11,2836951,8,Spain
4,5,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,2,3,8,2723748,8,Spain
5,6,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,6,8,2468002,8,Spain
6,7,spotify:track:1gRaHuKLW9Uo9qYkb7MvGP,"Bad Gyal, Trueno",Angelito,Interscope Records / Universal Music Latino,4,7,6,2243388,8,Spain
7,8,spotify:track:7DiNJqM6uyiYqqWX1wsqxG,Yapi,DONDE TE ESCONDES?,Yapi,8,9,6,2221274,8,Spain
8,9,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,4,8,8,2122376,8,Spain
9,10,spotify:track:2kQ1OvmMzs1xdlH020aJJh,"Quevedo, Aitana",GRAN VÍA,2024 DQE Productions Distribuido por RIMAS Entertainment,1,10,14,2033928,8,Spain
10,11,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1,14,36,1851252,8,Spain
11,12,spotify:track:0qeIFEGRQqHoaJtLCl0U73,"Myke Towers, benny blanco",DEGENERE 👑 (feat. benny blanco),WEA Latina,1,13,19,1757980,8,Spain
12,13,spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,2,11,15,1730434,8,Spain
13,14,spotify:track:6TT5rB0Rwneb6ZaopHQir4,"Alleh, Yorghaki",el ingeniero,CONMUER LLC,10,12,9,1722049,8,Spain
14,15,spotify:track:634CTghcuEDy2FXcTsLG5m,"Alleh, Yorghaki",una noche,CONMUER LLC,15,17,9,1667567,8,Spain
15,16,spotify:track:6hpbRPCxfUG5oA0o2p39Ez,"JC Reyes, Sky Rompiendo",DESEO,JC Reyes,16,-1,1,1633135,8,Spain
16,17,spotify:track:4zbEItKoaRId1vRZkoO0Uh,"Danny Ocean, Kapo",Imagínate,Atlantic Records,5,16,16,1618471,8,Spain
17,18,spotify:track:1yNYyCDT267YVxs5qSmnYZ,"Rvfv, Morad, Rels B",Corazón Puro,NASTU MUSIC,10,15,5,1572787,8,Spain
18,19,spotify:track:5DdLSEyKh8zgCrJq2hFj92,"Yan Block, TORRRES",Yo sé,SONAR LLC.,7,18,19,1565306,8,Spain
19,20,spotify:track:6aO53Wsz32bgMBytw6pIYm,Cano,Se Pone Las Nike,WM Spain,5,19,17,1553125,8,Spain
20,21,spotify:track:58ldPuiCULxm08TCZ8qX4D,"Quevedo, La Pantera",HALO,2024 DQE Productions Distribuido por RIMAS Entertainment,7,26,14,1552438,8,Spain
21,22,spotify:track:0Sr7ssScx54yxdM2ols7nW,"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?,Mr. 305 Records / Rimas Entertainment,1,24,23,1418949,8,Spain
22,23,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,9,20,8,1378652,8,Spain
23,24,spotify:track:67LKV40NfSSGIJnm0xz6fi,"Quevedo, Pitbull",MR. MOONDIAL,2024 DQE Productions Distribuido por RIMAS Entertainment,6,32,14,1358527,8,Spain
24,25,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,23,23,19,1304126,8,Spain
25,26,spotify:track:5WEF0icHWmAZBBMglBd599,"Bad Bunny, Chuwi",WELTiTA,Rimas Entertainment LLC.,7,21,8,1281991,8,Spain
26,27,spotify:track:6Gs0ljTHKNdr0uJrSLIkGd,Kapo,Aloh Aloh,Sony Music Latin/La Industria,27,28,7,1239086,8,Spain
27,28,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,26,27,28,1212355,8,Spain
28,29,spotify:track:2mnehJ4xPqFe4cNi7BG2rc,JC Reyes,STAR,JC Reyes,8,33,19,1212036,8,Spain
29,30,spotify:track:7lcbpfihslisNObKdHjyLo,"Clarent, Mora",IA,WEA Latina,1,25,19,1211264,8,Spain
30,31,spotify:track:2318Aoqig6HS9YkHGlAm8T,"Rels B, J Abecia",Te Regalo,DALE PLAY Records / Flakk Team,4,31,12,1203654,8,Spain
31,32,spotify:track:1QAvmMUR9gDtKr9OCtCzh1,"Moncho Chavea, Morad",SE FUE,Virgin Music Spain,11,29,10,1192273,8,Spain
32,33,spotify:track:2SPBFiD8iITb8CKJGz1TEQ,Yan Block,111,SONAR LLC.,33,-1,1,1188899,8,Spain
33,34,spotify:track:4MUrUT38U98olfnyzMBCzm,Bad Bunny,KLOuFRENS,Rimas Entertainment LLC.,12,30,8,1139771,8,Spain
34,35,spotify:track:3YrTrs2hJbLklaBdhr4TrH,"ROA, De La Rose, Luar La L, Yan Block, Omar Courtz",ETA - RMX,UMLE - Latino,22,39,12,1114508,8,Spain
35,36,spotify:track:1YYfyJ2yCvGFCxwjsIqEK9,"Rauw Alejandro, Romeo Santos",Khé?,Sony Music Latin/Duars Entertainment,11,34,15,1043772,8,Spain
36,37,spotify:track:0STW8nw4lNN4TEQ8KmNer6,"Jombriel, Alex Krack, Jøtta",Parte & Choke,WEA Latina,30,35,12,1040477,8,Spain
37,38,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,2,38,65,1032180,8,Spain
38,39,spotify:track:5AGnkbWCiF9u4ra54N9X1a,"Bizarrap, Luck Ra","Luck Ra: Bzrp Music Sessions, Vol. 61",DALE PLAY Records,23,37,9,1015384,8,Spain
39,40,spotify:track:0glj70T9fN3kyJzYmTKzy1,"Los Sufridos, Bad Gyal",Duro De Verdad pt.2,Interscope Records,2,41,24,991116,8,Spain
40,41,spotify:track:1o4xkdBe0RjSf2u6VXi4OI,"Yan Block, Panda Black",444,SONAR LLC.,40,47,30,981815,8,Spain
41,42,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",22,22,4,980517,8,Spain
42,43,spotify:track:6VNXmo59yDYgcwLS17UNAW,"Bad Bunny, Los Pleneros de la Cresta",CAFé CON RON,Rimas Entertainment LLC.,16,36,8,973777,8,Spain
43,44,spotify:track:53OKRnaKKAT3bCkF8WIY8C,"Rvfv, Youka, Wesh Music",Hm Hm Hm - Remix,NASTU MUSIC,12,42,13,964313,8,Spain
44,45,spotify:track:6mnfGyPzbzSe8olYGM44pU,Beny Jr,Luna llena,LF BABYS,4,43,34,952069,8,Spain
45,46,spotify:track:6iOndD4OFo7GkaDypWQIou,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,WEA Latina,46,-1,1,941482,8,Spain
46,47,spotify:track:3tMftGMXTPbQlmjh4FzXpZ,Dani Fernández,Me has invitado a bailar,WM Spain,17,44,27,937527,8,Spain
47,48,spotify:track:70JnnNNAxPjvZGPwjJfX47,"La La Love You, Axolotes Mexicanos",El Fin del Mundo,Subterfuge Records distributed by Altafonte,38,49,242,907502,8,Spain
48,49,spotify:track:1fTjqf10accJCDYstPwwZ6,Kapo,Ohnana,Sony Music Latin/La Industria,2,45,35,896161,8,Spain
49,50,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,1,51,144,894837,8,Spain
50,51,spotify:track:1LX9Kq7JFcEINO2a04WI2M,"Lola Indigo, Maria Becerra, Villano Antillano",LA REINA - REMIX,Universal Music Spain S.L.,20,40,6,881680,8,Spain
51,52,spotify:track:1iP7aZUNvyt2EtmpjSbtRz,Quevedo,CHAPIADORA.COM,2024 DQE Productions Distribuido por RIMAS Entertainment,16,61,14,831657,8,Spain
52,53,spotify:track:42wdz3j7gstgUuhoFLCXqd,FloyyMenor,PELIGROSA,FloyyMenor under exclusive license to UnitedMasters LLC,3,52,32,793275,8,Spain
53,54,spotify:track:25CfEf59PmRAhV18oZRMNr,"Manuel Turizo, Kapo",Qué Pecao,La Industria/Sony Music Latin,13,54,21,792652,8,Spain
54,55,spotify:track:6TzgG83Mj85lfnkWTuyO8O,"Ozuna, Kapo",Más Que Tú,Nibiru International/Sony Music Latin,55,132,2,788000,8,Spain
