,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
91,92,spotify:track:3nHuKdFJZm78CoeBnDcFKe,Teddy Swims,Bad Dreams,Warner Records,69,69,12,115088,2,Portugal
92,93,spotify:track:2GXRtFY3WNis04B2L1d7ua,Van Zee,Alma Nua,Van Zee,3,62,80,114917,2,Portugal
93,94,spotify:track:31pd4crQES4hOaWHGIpzXI,"Kappa Jotta, Bispo",FIM DA NOITE,KAPPA JOTTA,24,84,8,111768,2,Portugal
94,95,spotify:track:0bPP5cDG1ZnbAVCEa3ZbQ1,Grelo,Só Fé,Henrique & Juliano,1,72,23,110174,2,Portugal
95,96,spotify:track:4MF0VMffyxHsy3GZwwUnAs,Matuê,A Morte do Autotune,30PRAUM,90,90,12,109172,2,Portugal
96,97,spotify:track:6BPcUXYERAahpunmb0AovH,"Arcane, Stromae, Pomme",Ma Meilleure Ennemie (from the series Arcane League of Legends),Riot Games,7,58,8,108865,2,Portugal
97,98,spotify:track:0w7vodPWFEcuEYvWpbNbOu,WIU,Rainha da Finesse,30PRAUM,14,73,28,108551,2,Portugal
98,99,spotify:track:5nYYQ85x9DwEiEpETQNlNC,"Bispo, Julinho Ksd",Contra Probabilidades,Mentalidade Free,52,79,30,108343,2,Portugal
99,100,spotify:track:7LspiTtZDRmWq6r8YurGca,"Van Zee, FRANKIEONTHEGUITAR",Bravos,Van Zee & FRANKIEONTHEGUITAR,100,-1,1,105479,2,Portugal
100,101,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,66,66,70,104999,2,Portugal
101,102,spotify:track:2esZG2XFtuoWWA9AfDvSxy,"FloyyMenor, Cris Mj",Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,2,96,41,104474,2,Portugal
102,103,spotify:track:3YsnklkstFoHWUNw6Oqici,"Maninho, Marisa Liz",Garota (feat. Marisa Liz),Parlophone Portugal,55,74,24,103962,2,Portugal
103,104,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,50,71,79,103949,2,Portugal
