,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
103,104,spotify:track:2bLqfJjuC5syrsgDsZfGmn,"Timbaland, Keri Hilson, D.O.E.",The Way I Are,Interscope/Blackground Records,82,84,100,573979,1,Germany
104,105,spotify:track:6iae2GQgvesx5597F6ur3k,Bobby Vandamme,Der Weg,RCA & GOLD LEAGUE/GOVA Ent.,99,99,3,572132,1,Germany
105,106,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,"Don Omar, Lucenzo",Danza Kuduro,UMLE - Machete,54,54,106,571912,1,Germany
106,107,spotify:track:5e0b9LgOfi3aJSKXFcOWRe,Chezile,Beanie,Chezile / 10K Projects,107,183,2,571762,1,Germany
107,108,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,108,138,3,570790,1,Germany
108,109,spotify:track:4UKQ8zZQ92nTdxQpz6VrPv,bac,Rosaroter Tee,Polydor,28,176,11,567380,1,Germany
109,110,spotify:track:23H67W1NWkB4DOVVT8QOfV,Shirin David,küss mich doch,Juicy Money Records,82,82,2,563078,1,Germany
110,111,spotify:track:3aLZ0s5ulFLcFCtIZQblpo,Pashanim,Hauseingang,Urban,40,-1,132,556800,1,Germany
111,112,spotify:track:0Mvc2FRCYnVjMTd4jx4DMq,"Zartmann, Ski Aggu, Dauner",wie du manchmal fehlst,Bamboo Artists/Epic,5,154,32,555134,1,Germany
112,113,spotify:track:2esZG2XFtuoWWA9AfDvSxy,"FloyyMenor, Cris Mj",Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,3,119,39,552331,1,Germany
113,114,spotify:track:1B62o4CbdL9ckGvwsz2cgn,SYML,Where's My Love,Nettwerk Music Group,114,-1,8,549916,1,Germany
114,115,spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,Don Toliver,No Pole,Cactus Jack / Atlantic,115,-1,1,549630,1,Germany
115,116,spotify:track:30vg2QguPyaa7PcAJTn9YE,YAKARY,sonnenbank.mp3,Life is Pain,1,123,54,548885,1,Germany
116,117,spotify:track:1bG8JOOvT1K9DjG6YPBfh9,Gzuz,G Wagon,187 Strassenbande,18,131,14,547318,1,Germany
117,118,spotify:track:2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Softcore,Columbia,29,-1,43,545907,1,Germany
118,119,spotify:track:3gTLaJJbieHBrti47DXTUo,"Summer Cem, BILLA JOE",MURAKAMI,GOLD LEAGUE/OG Scrpngang GmbH,4,135,9,545311,1,Germany
119,120,spotify:track:4Yf5bqU3NK4kNOypcrLYwU,Linkin Park,Faint,Warner Records,45,184,18,541875,1,Germany
120,121,spotify:track:5rb9QrpfcKFHM1EUbSIurX,"USHER, Lil Jon, Ludacris",Yeah! (feat. Lil Jon & Ludacris),LaFace Records,43,43,45,540312,1,Germany
121,122,spotify:track:086edN2nz8TjB3zddIdlPn,"SDP, Sido, Esther Graf",Mama hat gesagt,Nur Musik Ist Schöner,10,97,35,538777,1,Germany
122,123,spotify:track:6Obb1FCQLZrVRvzXWdgDma,Bibi und Tina,Bibi und Tina Lied,Kiddinx/WM Germany,123,172,31,538530,1,Germany
123,124,spotify:track:559mLg44MrcA7JzYGbpXfL,"MilleniumKid, JBS",Vielleicht Vielleicht,Warner Music Central Europe,41,180,52,538504,1,Germany
124,125,spotify:track:5OJYxgz6ORI1EhSZzv8aUC,THIZZY52,100 Push Ups,Urban,125,-1,3,537500,1,Germany
125,126,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape / ISR P&D,28,127,166,532278,1,Germany
126,127,spotify:track:5F6SWgvyg6PYxmeAHhoXxJ,Filow,Rasenschach,1UP Management GmbH,14,128,28,531308,1,Germany
127,128,spotify:track:4jvjzW7Hm0yK4LvvE0Paz9,"Lil Peep, XXXTENTACION",Falling Down - Bonus Track,Columbia,11,174,44,530434,1,Germany
128,129,spotify:track:4C8c6wPEFZBNqy21vRBBih,LACAZETTE,HDL,LACAZETTE,1,167,11,529008,1,Germany
129,130,spotify:track:6qNY0rzwZR0d4xt3WiT8CU,LACAZETTE,H&K,LACAZETTE,8,110,18,528923,1,Germany
