,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
151,152,spotify:track:0kcXZMVoH1q923xLM9OKf6,Elodie,Black Nirvana,Universal Music Italia srL.,10,129,30,407052,1,Italy
152,153,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,30,143,36,404833,1,Italy
153,154,spotify:track:6s5DJ2zRf9T3A2VidCCHxZ,"Geolier, Dat Boi Dee, Poison Beatz, Geenaro & Ghana Beats",SI STAT’ TU,Warner Music,15,119,31,403164,1,Italy
154,155,spotify:track:3PYYiqmhooCNCGiiPTM5zS,"Elisa, Calcutta ",Se Piovesse Il Tuo Nome - con Calcutta,Universal Music Italia srL.,60,198,32,400203,1,Italy
155,156,spotify:track:1syS5FwTeSz4MbJLT9Oxaj,"Lazza, Marracash",-3 (PERDERE IL VOLO) (feat. Marracash),Universal Music Italia srL.,5,-1,14,400149,1,Italy
156,157,spotify:track:0mHC3BK9vFGoEU0EcGPWRZ,Lazza,CENERE,Universal Music Italia srL.,1,184,90,400028,1,Italy
157,158,spotify:track:0gkV0FyCdrJqwyrFW7NsEQ,883,Come mai,WM Italy,83,159,10,398440,1,Italy
158,159,spotify:track:1xiCaiy7CFnymZvf80ZKBk,Pinguini Tattici Nucleari,Burnout,Epic,31,111,5,398224,1,Italy
159,160,spotify:track:0Sr7ssScx54yxdM2ols7nW,"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?,Mr. 305 Records / Rimas Entertainment,94,146,13,397565,1,Italy
160,161,spotify:track:5zVQoMHyELfcHYviXDao3I,"Artie 5ive, Guè",MILANO TESTAROSSA (feat. Guè),Warner Music,23,156,23,390740,1,Italy
161,162,spotify:track:0liQcHfCU5zKeSEdIYfGIP,"Holden, mew",GRANDINE (feat. mew),Latarma S.r.l.,40,148,9,389442,1,Italy
162,163,spotify:track:60QN1JrgYM7jcfW8pdQFqT,Annalisa,Sinceramente,Warner Music,3,142,41,388928,1,Italy
163,164,spotify:track:0YmbCvOH82KPkFVK3qBaAD,Mahmood,TUTA GOLD,Universal Music Italia srL.,1,133,43,387862,1,Italy
