rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
81,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",10,75,218,"288317"
82,"spotify:track:0Uy5VFlvsosR3YZbpsxYFh","Roxy Dekker","Satisfyer","Warner Music Benelux",4,82,69,"287530"
83,"spotify:track:3dWSdaGd1XkB3J6xxsr8Zu","Donnie, Marco Schuitmaker, Russo, LA$$A","Losse Pols","8ball Music / Maradonnie / Dino Music / Van De Watermakers",24,71,12,"286411"
84,"spotify:track:3pN1lUACckD0PTkFzpxEpu","Russo, Matthy","Hotel","Van De Watermakers",7,52,5,"284476"
85,"spotify:track:0vAk9jGuv7X9dtM3HR7n2W","Jonna Fraser","Bday Baddie","Noah's Ark BV",85,-1,1,"283010"
86,"spotify:track:1eTaznNW4Xxtx9za2SMTXB","Doechii","DENIAL IS A RIVER","Top Dawg Entertainment/Capitol Records",61,93,6,"282752"
87,"spotify:track:37Tmv4NnfQeb0ZgUC4fOJj","Dire Straits","Sultans Of Swing","EMI",64,85,171,"282548"
88,"spotify:track:6393yGahSJ9slVdOwSxOVR","Chappell Roan","Pink Pony Club","Chappell Roan PS/ Island",71,81,4,"281912"
89,"spotify:track:3x3K1RP3Zfi2qeMR8kyrNO","Benson Boone","Sorry I'm Here For Someone Else","Night Street Records, Inc./Warner Records Inc.",89,-1,1,"280815"
90,"spotify:track:1LY3GhF0zxIVgbYEQjCbUO","Disturbed, CYRIL","The Sound of Silence - CYRIL Remix","Spinnin' Records",12,101,48,"278680"
91,"spotify:track:4QNpBfC0zvjKqPJcyqBy9W","Pitbull, AFROJACK, Ne-Yo, Nayer","Give Me Everything (feat. Nayer)","Mr.305/Polo Grounds Music/J Records",91,105,5,"277167"
92,"spotify:track:7MybstUgCBUVyPV8tzsB1U","Claude","Ladada (Mon Dernier Mot)","Cloud 9 Digital",1,-1,70,"274455"
93,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",23,77,23,"271350"
94,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",51,94,73,"269947"
95,"spotify:track:5gUYp5MZA4Klngi8dOxOFb","D-Double, Kevin","Moneymaker Syndroom (feat. Kevin)","Bankjes",29,29,2,"269161"
96,"spotify:track:51rfRCiUSvxXlCSCfIztBy","Gracie Abrams","I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",11,79,30,"266515"
97,"spotify:track:5fZJQrFKWQLb7FpJXZ1g7K","Shaboozey","A Bar Song (Tipsy)","American Dogwood / EMPIRE",7,89,46,"265292"
98,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",23,97,43,"264088"
99,"spotify:track:4t1h7BTPZFSHBQRz3MJ7sK","Yves Berendse","Vandaag Ben Ik Van Jou","Dino Music",20,68,7,"263371"
100,"spotify:track:4vW57jBzQQ8Q9MwUibzmir","Frenna","PRETTY GIRLS","Top Notch Music BV",2,88,51,"262933"
101,"spotify:track:5ylTlnAOKIXMfgCFxwOfgq","Hannah Mae","Rode Draad","Universal Music, a division of Universal International Music BV",101,104,3,"262118"
102,"spotify:track:5RKQ5NdjSh2QzD4MaunT91","Journey","Don't Stop Believin' (2022 Remaster)","Columbia/Legacy",54,99,52,"261980"
